Tokens,Algorithm,Use Multi Thread,Fastest,Median,90% tile, 99% tile
1,NaiveSearch,false,53,52,51,33
1,NaiveSearch,true,53,52,47,41
1,TokenizedSearch,false,247,243,215,110
1,TokenizedSearch,true,245,242,239,137
1,SimpleSuffixTree,false,113,112,95,83
1,SimpleSuffixTree,true,111,111,110,106
1,MultiPartitionSuffixTree,false,84,84,83,54
1,MultiPartitionSuffixTree,true,85,84,84,79
1,SimpleTokenizedSuffixTree,false,112,111,95,89
1,SimpleTokenizedSuffixTree,true,112,111,109,93
1,MultiPartitionTokenizedSuffixTree,false,81,81,81,60
1,MultiPartitionTokenizedSuffixTree,true,82,80,80,74
2,NaiveSearch,false,51,49,49,48
2,NaiveSearch,true,39,24,23,23
2,TokenizedSearch,false,387,384,308,258
2,TokenizedSearch,true,65,45,42,40
2,SimpleSuffixTree,false,400,315,310,239
2,SimpleSuffixTree,true,137,99,90,39
2,MultiPartitionSuffixTree,false,240,210,198,196
2,MultiPartitionSuffixTree,true,123,81,78,37
2,SimpleTokenizedSuffixTree,false,106,103,88,87
2,SimpleTokenizedSuffixTree,true,37,28,27,24
2,MultiPartitionTokenizedSuffixTree,false,64,63,58,57
2,MultiPartitionTokenizedSuffixTree,true,23,21,21,19
3,NaiveSearch,false,21,20,20,20
3,NaiveSearch,true,16,12,12,12
3,TokenizedSearch,false,381,377,318,314
3,TokenizedSearch,true,53,35,33,32
3,SimpleSuffixTree,false,98,96,83,82
3,SimpleSuffixTree,true,37,26,25,22
3,MultiPartitionSuffixTree,false,57,57,50,48
3,MultiPartitionSuffixTree,true,26,21,20,16
3,SimpleTokenizedSuffixTree,false,85,84,72,71
3,SimpleTokenizedSuffixTree,true,32,24,23,22
3,MultiPartitionTokenizedSuffixTree,false,48,47,42,41
3,MultiPartitionTokenizedSuffixTree,true,21,18,18,17
4,NaiveSearch,false,18,18,17,17
4,NaiveSearch,true,15,11,11,11
4,TokenizedSearch,false,300,297,294,261
4,TokenizedSearch,true,44,29,28,27
4,SimpleSuffixTree,false,79,77,76,64
4,SimpleSuffixTree,true,29,21,20,19
4,MultiPartitionSuffixTree,false,45,44,39,37
4,MultiPartitionSuffixTree,true,18,17,16,13
4,SimpleTokenizedSuffixTree,false,75,74,69,61
4,SimpleTokenizedSuffixTree,true,28,20,20,19
4,MultiPartitionTokenizedSuffixTree,false,42,41,41,36
4,MultiPartitionTokenizedSuffixTree,true,20,16,15,15
5,NaiveSearch,false,18,18,17,13
5,NaiveSearch,true,13,11,10,10
5,TokenizedSearch,false,303,300,298,294
5,TokenizedSearch,true,37,24,23,23
5,SimpleSuffixTree,false,76,74,63,62
5,SimpleSuffixTree,true,23,18,17,14
